"","score","geneList","realAUC","realP20R","realP43R","AUC_CI","PR20_CI","PR43_CI"
"1","ASDprinceton_score","TADA_novel",0.66687,"0.8814","0.8478","0.59719, 0.73805","0.57913, 0.99757","0.47658, 1.16485"
"2","ASD_frn_score","TADA_novel",0.73189,"1.2849","0.8702","0.67449, 0.7904","0.7017, 4.5351","0.55634, 1.34087"
"3","DAMAGES_score","TADA_novel",0.80066,"1.2529","1.4014","0.75377, 0.85036","0.87215, 1.77965","0.76203, 1.88759"
"4","RF_Lin_score","TADA_novel",0.76804,"2.1215","1.4878","0.71104, 0.82676","0.97708, 3.84354","0.85554, 1.8739"
"5","forecASD_score","TADA_novel",0.88786,"7.1329","5.5627","0.84416, 0.93529","4.4705, 10.94813","3.20364, 9.31514"
"6","DAWN_score","TADA_novel",0.58269,"0.6867","0.5327*","0.52968, 0.63578","0.3777, 1.36068","0.35559, 0.72336"
"7","PANDA_score","TADA_novel",0.7249,"1.0806","0.6847","0.65822, 0.7959","0.44619, 3.70751","0.43233, 0.94539"
"8","DeRubeis_score","TADA_novel",0.72022,"4.7316","2.3681","0.6501, 0.79311","2.11516, 5.6002","1.43726, 3.77445"
"9","Sanders_score","TADA_novel",0.76359,"6.1978","2.7999","0.6927, 0.83628","3.62076, 10.22685","1.69628, 6.59413"
"10","iHart_score","TADA_novel",0.78012,"42.3495","4.0694","0.71299, 0.84948","8.17032, 56.81567","1.6834, 7.6941"
"11","Satterstrom_score","TADA_novel",0.85135,"50","54.1251","0.79406, 0.91051","38.75, 75","25.83079, 68.4211"
"12","Iossifov_score","TADA_novel",0.75825,"1.8242","1.8278","0.69775, 0.82051","1.25452, 3.60295","1.10386, 2.6696"
"13","exac_pLI_score","TADA_novel",0.77079,"1.1446","1.1126","0.71683, 0.82656","0.6912, 1.9048","0.776, 1.45277"
"14","gnomad_pLI_score","TADA_novel",0.74966,"1.0501","1.1468","0.695, 0.80437","0.70754, 2.0896","0.72783, 1.39073"
"15","oe_lof_upper_score","TADA_novel",0.78659,"0.9622","1.0963","0.7369, 0.83957","0.6479, 1.41065","0.80854, 1.37492"
