"","ASDprinceton_top","ASD_frn_top","DAMAGES_top","RF_lin_top","forecASD_top","DAWN_top","DeRubeis_top","Sanders_top","iHart_top","Satterstrom_top","Iossifov_top","exac_pLI_top","gnomad_pLI_top","oe_lof_upper_top","SFARIHC","NOVELHC"
"ASDprinceton_top",2467,1014,70,842,831,38,16,28,34,55,108,1045,1026,997,83,29
"ASD_frn_top",NA,2111,74,985,842,42,20,35,36,62,121,1093,1023,1031,99,27
"DAMAGES_top",NA,NA,117,89,90,9,4,7,7,12,25,116,115,116,16,0
"RF_lin_top",NA,NA,NA,2089,854,30,6,5,8,43,129,1436,1335,1378,59,33
"forecASD_top",NA,NA,NA,NA,1803,63,33,65,65,89,187,1109,1044,1052,118,43
"DAWN_top",NA,NA,NA,NA,NA,127,11,17,16,19,27,50,53,55,20,2
"DeRubeis_top",NA,NA,NA,NA,NA,NA,33,26,23,21,24,26,24,25,23,0
"Sanders_top",NA,NA,NA,NA,NA,NA,NA,65,52,39,45,46,44,44,39,0
"iHart_top",NA,NA,NA,NA,NA,NA,NA,NA,69,36,40,45,41,42,35,16
"Satterstrom_top",NA,NA,NA,NA,NA,NA,NA,NA,NA,102,53,89,81,83,52,32
"Iossifov_top",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239,204,198,203,66,6
"exac_pLI_top",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3220,2475,2477,121,37
"gnomad_pLI_top",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3046,2838,125,35
"oe_lof_upper_top",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2957,124,37
"SFARIHC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,7
"NOVELHC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60
